Collect evidence for legal proceedings.,7,3
Collaborate with technical specialists to resolve design or development problems.,7,3
Communicate patient status to other health practitioners.,7,3
Interpret cultural or religious information for others.,7,3
Sell agricultural products.,7,3
Collaborate with others to determine design specifications or details.,7,3
Maintain mechanical equipment.,7,3
Monitor recreational facility operations.,7,3
Host events.,7,3
Collaborate with law enforcement or security agencies to respond to incidents.,7,3
Monitor building premises to ensure occupant or visitor safety.,7,3
"Inspect facilities to ensure compliance with safety, quality, or service standards.",7,3
Collect geological samples.,7,3
"Negotiate contracts for transportation, distribution, or logistics services.",7,3
Research advanced engineering designs or applications.,7,3
Reshape metal workpieces to established specifications.,7,3
Maintain computer equipment or software.,7,3
Shape surfaces or edges of wood workpieces.,7,3
Remove products or workpieces from production equipment.,7,3
"Operate cranes, hoists, or other moving or lifting equipment.",7,3
Coordinate logistics for productions or events.,7,3
Identify implications for cases from legal precedents or other legal information.,7,3
Search individuals for illegal or dangerous items.,7,3
Confer with technical personnel to prepare designs or operational plans.,7,3
Confer with others to conduct or arrange operational activities.,7,3
Inform others about laws or regulations.,7,3
Negotiate purchases or contracts.,7,3
Supervise information technology personnel.,8,2
Repair electronic equipment.,8,2
Coordinate design activities.,8,2
Instruct workers to use equipment or perform technical procedures.,8,2
Monitor business indicators.,8,2
Repair electrical components.,8,2
Monitor loading processes to ensure they are performed properly.,8,2
Confiscate prohibited or dangerous items.,8,2
Coordinate construction or installation activities.,8,2
Assist practitioners to perform medical procedures.,8,2
"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",8,2
Correspond with customers to answer questions or resolve complaints.,8,2
Create graphical representations of civil structures.,8,2
Monitor equipment operation to ensure proper functioning.,8,2
Repair defective engines or engine components.,8,2
"Interview witnesses, suspects, or claimants.",8,2
Repair precision devices or workpieces.,8,2
Represent the organization in external relations.,8,2
Monitor computer system performance to ensure proper operation.,8,2
Monitor conditions at energy-producing landfills.,8,2
Supervise medical support personnel.,8,2
Coordinate operational activities.,8,2
Supervise production or support personnel.,8,2
Contact current or potential customers to promote products or services.,8,2
Investigate legal issues.,8,2
Create marketing materials.,8,2
Research diseases or parasites.,8,2
Conduct hearings to investigate legal issues.,8,2
Configure computer networks.,8,2
Maintain financial or account records.,8,2
"Select equipment, materials, or supplies for cleaning or maintenance activities.",8,2
Maintain material moving equipment in good working condition.,8,2
"Collect medical information from patients, family members, or other medical professionals.",8,2
Collect payments for good or services.,8,2
"Secure watercraft to docks, wharves or other vessels.",8,2
Collect samples of raw materials or finished products.,8,2
Watch operating equipment to detect malfunctions.,8,2
Maintain locomotives or other rail equipment in good working condition.,8,2
Measure environmental characteristics.,8,2
Communicate organizational information to customers or other stakeholders.,8,2
Sterilize medical equipment or instruments.,8,2
Communicate project information to others.,8,2
Maintain knowledge of current developments in area of expertise.,8,2
Schedule medical facility use.,8,2
Communicate with customers to resolve complaints or ensure satisfaction.,8,2
Collect geographical or geological field data.,8,2
Stack finished items for further processing or shipment.,8,2
"Collect deposits, payments or fees.",8,2
"Maintain records, documents, or other files.",8,2
Clean equipment or supplies.,8,2
Acquire supplies or equipment.,8,2
Classify materials according to standard systems.,8,2
Choose optimal transportation routes or speeds.,8,2
Clean production equipment.,8,2
Clean work areas or facilities.,8,2
Collaborate with healthcare professionals to plan or provide treatment.,8,2
Collect data about project sites.,8,2
"Service heating, ventilation or air-conditioning (HVAC) systems or components.",8,2
Collaborate with others to determine production details.,8,2
Serve court ordered documents.,8,2
Collaborate with others to resolve information technology issues.,8,2
Maintain personnel records.,8,2
Collect biological specimens.,8,2
Schedule dining reservations.,8,2
Maintain contingency plans for disaster recovery.,8,2
Research engineering applications of emerging technologies.,8,2
Review work orders or schedules to determine operations or procedures.,8,2
Liaise between departments or other groups to improve function or communication.,8,2
Administer therapeutic massages.,8,2
Level machines or equipment.,8,2
Confer with clients to discuss treatment plans or progress.,8,2
Confer with coworkers to coordinate maintenance or cleaning activities.,8,2
Lead classes or community events.,8,2
Research microbiological or chemical processes or structures.,8,2
Confer with customers or users to assess problems.,8,2
Supervise clerical or administrative personnel.,8,2
Confer with managers to make operational decisions.,8,2
Confer with other professionals to plan patient care.,8,2
Confer with others to resolve production problems or equipment malfunctions.,8,2
Research genetic characteristics or expression.,8,2
Verify application data to determine program eligibility.,8,2
Advise others on business or operational matters.,8,2
Load materials into production equipment.,8,2
Conduct research to gain information about products or processes.,8,2
Load or unload materials used in construction or extraction.,8,2
Stock supplies or merchandise.,8,2
Review technical documents to plan work.,8,2
Compile data or documentation.,8,2
Maintain client records.,8,2
Complete documentation required by programs or regulations.,8,2
Compute debt repayment schedules.,8,2
Review documents or materials for compliance with policies or regulations.,8,2
Meet with coworkers to communicate work orders or plans.,8,2
Conduct quantitative failure analyses of operational data.,8,2
Lubricate equipment to allow proper functioning.,8,2
Administer tests to assess educational needs or progress.,8,2
Locate natural resources using geospatial or other environmental data.,8,2
Locate fires or fire danger areas.,8,2
Monitor lubrication of equipment or workpieces.,8,2
Respond to customer inquiries.,8,2
"Remove accessories, tools, or other parts from equipment.",8,2
"Analyze operational data to evaluate operations, processes or products.",8,2
Cut fabrics.,8,2
Dismantle heavy equipment or machinery.,8,2
Operate farming equipment.,8,2
Test quality of materials or finished products.,8,2
Analyze environmental data.,8,2
Prepare instruction manuals.,8,2
Operate forestry equipment.,8,2
Analyze financial records or reports to determine state of operations.,8,2
Prepare hot or cold beverages.,8,2
Dispose of trash or waste materials.,8,2
Operate audiovisual equipment.,8,2
Operate garment treatment equipment.,8,2
Prepare foods or meals.,8,2
"Prepare financial documents, reports, or budgets.",8,2
Train caregivers or other non-medical personnel.,8,2
Treat dental problems or diseases.,8,2
"Format digital documents, data, or images.",8,2
Document network-related activities or tasks.,8,2
Operate excavation equipment.,8,2
"Discuss business strategies, practices, or policies with managers.",8,2
Disassemble equipment to inspect for deficiencies.,8,2
Prepare meat products for sale or consumption.,8,2
Implement advertising or marketing initiatives.,8,2
Diagnose medical conditions.,8,2
Dig holes or trenches.,8,2
Prepare proposal documents.,8,2
Cut industrial materials in preparation for fabrication or processing.,8,2
Direct energy production or management activities.,8,2
Trim client hair.,8,2
Treat patients using psychological therapies.,8,2
Identify environmental concerns.,8,2
Direct green energy production operations.,8,2
Analyze data to inform operational decisions or activities.,8,2
Direct maintenance and repair activities in green energy production facilities.,8,2
Operate diagnostic imaging equipment.,8,2
Analyze design or requirements information for mechanical equipment or systems.,8,2
Operate energy production equipment.,8,2
Document operational activities.,8,2
Document operational procedures.,8,2
Document technical design details.,8,2
Analyze logistics processes.,8,2
Estimate green project costs.,8,2
Estimate maintenance service requirements or costs.,8,2
Operate transportation equipment to demonstrate function or malfunction.,8,2
Plan environmental research.,8,2
Analyze test data or images to inform diagnosis or treatment.,8,2
Examine financial records or processes.,8,2
"Analyze security of systems, network, or data.",8,2
Evaluate data quality.,8,2
Train sales personnel.,8,2
Oversee business processes.,8,2
Perform clerical work in medical settings.,8,2
Package food or supplies.,8,2
Evaluate energy production data.,8,2
Evaluate environmental impact of operational or development activities.,8,2
Evaluate environmental or sustainability projects.,8,2
Estimate costs or terms of sales.,8,2
"Establish standards for products, processes, or procedures.",8,2
Document technical specifications or requirements.,8,2
Examine physical characteristics of gemstones or precious metals.,8,2
Document test results.,8,2
Treat chronic diseases or disorders.,8,2
Train customers in the use of products.,8,2
Edit written materials.,8,2
Train others in operational procedures.,8,2
Feed patients.,8,2
Practice athletic or artistic skills.,8,2
Pour materials into or on designated areas.,8,2
Enter codes or other information into computers.,8,2
Position patients for treatment or examination.,8,2
Analyze information obtained from news sources.,8,2
Explain technical medical information to patients.,8,2
Position construction forms or molds.,8,2
Plant greenery to improve landscape appearance.,8,2
Plan work procedures.,8,2
Analyze data to identify trends or relationships among variables.,8,2
Prepare project budgets.,8,2
Prepare surfaces for finishing.,8,2
"Inspect mechanical equipment to locate damage, defects, or wear.",8,2
Assign duties or work schedules to employees.,8,2
Recommend packing or shipping methods.,8,2
Design water conservation systems.,8,2
Design websites or web applications.,8,2
Inspect shipments to ensure correct order fulfillment.,8,2
Monitor the performance of computer networks.,8,2
Advise others on legal or regulatory compliance matters.,8,2
Determine protocols for medical procedures.,8,2
Mount materials or workpieces onto production equipment.,8,2
Determine resource needs.,8,2
Purchase products or services.,8,2
Advise others on ways to improve processes or products.,8,2
Assess locations for potential green technology installations.,8,2
Advise patients on effects of health conditions or treatments.,8,2
Inspect finishes of workpieces or finished products.,8,2
Provide safety training.,8,2
Recommend products or services to customers.,8,2
Inspect sustainable energy production facilities or equipment.,8,2
Monitor patient progress or responses to treatments.,8,2
"Monitor patient conditions during treatments, procedures, or activities.",8,2
Assist other educational professionals with projects or research.,8,2
Supervise workers performing environmentally sustainable activities.,8,2
Cut openings in existing structures.,8,2
Recruit personnel.,8,2
Record vital statistics or other health information.,8,2
Cut wood components for installation.,8,2
Deliver promotional presentations to current or prospective customers.,8,2
Record personnel information.,8,2
Assist healthcare practitioners during surgery.,8,2
Assist disabled or incapacitated individuals.,8,2
Record information from meetings or other formal proceedings.,8,2
Advise others on health and safety issues.,8,2
Install audio or communications equipment.,8,2
Teach daily living skills or behaviors.,8,2
Record information about environmental conditions.,8,2
Assess financial status of clients.,8,2
Develop collaborative relationships between departments or with external organizations.,8,2
Teach medical procedures to healthcare personnel.,8,2
Protect structures or surfaces near work areas to avoid damage.,8,2
Assemble garments or textile products.,8,2
Develop medical treatment plans.,8,2
Develop models of information or communications systems.,8,2
Negotiate sales or lease agreements for products or services.,8,2
Develop operational methods or processes that use green materials or emphasize sustainability.,8,2
"Notify others of emergencies, problems, or hazards.",8,2
Test electrical circuits or components for proper functioning.,8,2
Obtain copyrights or other legal permissions.,8,2
Develop procedures to evaluate organizational activities.,8,2
Develop professional relationships or networks.,8,2
Test green technologies or processes.,8,2
Test green technology installations to verify performance.,8,2
Develop software or computer applications.,8,2
Obtain written authorization to perform activities.,8,2
Test mechanical equipment to ensure proper functioning.,8,2
Arrange insurance coverage.,8,2
Develop testing routines or procedures.,8,2
Provide medical or cosmetic advice for clients.,8,2
"Promote products, services, or programs.",8,2
Apply new technologies to improve work processes.,8,2
Manage clerical or administrative activities.,8,2
Inspect equipment to locate or identify electrical problems.,8,2
Develop educational programs.,8,2
Provide customers with general information or assistance.,8,2
Advocate for individual or community needs.,8,2
Develop environmental research methods.,8,2
Develop emergency response plans or procedures.,8,2
"Move products, materials, or equipment between work areas.",8,2
Inspect facilities or sites to determine if they meet specifications or standards.,8,2
Monitor equipment operation to ensure that products are not flawed.,9,1
Monitor extraction operations.,9,1
Provide technical guidance to other personnel.,9,1
"Travel to work sites to perform installation, repair or maintenance work.",9,1
Monitor external affairs or events affecting business operations.,9,1
Treat animal injuries or illnesses.,9,1
Select resources needed to accomplish tasks.,9,1
Translate information for others.,9,1
Monitor food services operations to ensure procedures are followed.,9,1
Promote environmental sustainability or conservation initiatives.,9,1
"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",9,1
Monitor organizational processes.,9,1
Monitor organizational procedures to ensure proper functioning.,9,1
Monitor organizational compliance with regulations.,9,1
Monitor operational quality or safety.,9,1
Protect patients or staff members using safety equipment.,9,1
Monitor nutrition related activities of individuals or groups.,9,1
Protect property from fire or water damage.,9,1
Provide attraction or event information to patrons.,9,1
"Replace worn, damaged, or defective mechanical parts.",9,1
Replace worn equipment components.,9,1
Train personnel on proper operational procedures.,9,1
Train personnel.,9,1
Treat facilities to eliminate pests.,9,1
Provide educational information to the public.,9,1
Provide first aid or rescue assistance in emergencies.,9,1
Monitor inventories of products or materials.,9,1
"Provide health and wellness advice to patients, program participants, or caregivers.",9,1
Provide information to coworkers.,9,1
Monitor instruments to ensure proper production conditions.,9,1
Monitor health or behavior of people or animals.,9,1
"Train workers in farming, forestry, or hunting techniques.",9,1
Provide customer service to clients or users.,9,1
Model operational processes.,9,1
Treat medical emergencies.,9,1
Verify that medical activities or operations meet standards.,9,1
Record information about legal matters.,9,1
Record images needed to address work issues.,9,1
Mark reference points on construction materials.,9,1
"Market products, services, or events.",9,1
Visit individuals in their homes to provide support or information.,9,1
Measure dimensions of completed products or workpieces to verify conformance to specifications.,9,1
Measure effectiveness of business strategies or practices.,9,1
Verify patron or staff credentials.,9,1
Provide technical support for software maintenance or use.,9,1
Remove trash.,9,1
Measure ingredients or substances to be used in production processes.,9,1
Remove workpieces from molds.,9,1
"Remove worn, damaged or outdated materials from work areas.",9,1
Reconcile records of sales or other financial transactions.,9,1
Verify employee information.,9,1
Measure physical characteristics of forestry or agricultural products.,9,1
"Mark products, workpieces, or equipment with identifying information.",9,1
Mark materials or objects for identification.,9,1
Mark agricultural or forestry products for identification.,9,1
Maneuver workpieces in equipment during production.,9,1
Manage environmental sustainability projects.,9,1
Relay information about incidents or emergencies to personnel using phones or two-way radios.,9,1
Relay information between personnel.,9,1
Manage food service operations or parts of operations.,9,1
Manage healthcare operations.,9,1
Write computer programming code.,9,1
Manage inventories of products or organizational resources.,9,1
Record research or operational data.,9,1
"Manage operations, research, or logistics projects.",9,1
Manage organizational or project budgets.,9,1
Write advertising or promotional material.,9,1
Remove parts or components from equipment.,9,1
Manage scientific or technical project resources.,9,1
Weigh materials to ensure compliance with specifications.,9,1
Record information about suspects or criminals.,9,1
Verify customer credit information.,9,1
Measure product or material dimensions.,9,1
Recommend organizational process or policy changes.,9,1
Update computer database information.,9,1
Unload materials or equipment.,9,1
Read technical information needed to perform maintenance or repairs.,9,1
Monitor availability of equipment or supplies.,9,1
Monitor broadcasting operations to ensure proper functioning.,9,1
Read documents to gather technical information.,9,1
Monitor construction operations.,9,1
Trim excess material from workpieces.,9,1
Trim excess material from installations.,9,1
Treat patients using physical therapy techniques.,9,1
Repair non-engine automotive or vehicle components.,9,1
Monitor engine operation or functioning.,9,1
"Purchase materials, equipment, or other resources.",9,1
Provide transportation information to passengers or customers.,9,1
Monitor environmental conditions to detect hazards.,9,1
Monitor environmental impacts of production or development activities.,9,1
Read work orders or descriptions of problems to determine repairs or modifications needed.,9,1
Reassemble equipment after repair.,9,1
Recommend legal actions.,9,1
Rebuild parts or components.,9,1
Verify accuracy of financial information.,9,1
Measure the physical or physiological attributes of patients.,9,1
Verify accuracy of data.,9,1
Usher patrons to seats or exits.,9,1
Use weapons or physical force to maintain security.,9,1
Recommend improvements to increase safety or reduce risks.,9,1
"Melt metal, plastic, or other materials to prepare for production.",9,1
Update website content.,9,1
Recommend changes to improve computer or information systems.,9,1
Mix sound inputs.,9,1
Update technical knowledge.,9,1
Recommend changes or corrective procedures.,9,1
Receive shipments.,9,1
Update professional knowledge.,9,1
Update knowledge about emerging industry or technology trends.,9,1
Train others in computer interface or software use.,9,1
Test patient hearing.,9,1
Report vehicle or equipment malfunctions.,9,1
"Order materials, supplies, or equipment.",9,1
Rewire electrical or electronic systems.,9,1
Order medical supplies or equipment.,9,1
Refer individuals to educational or work programs.,9,1
Organize recreational activities or events.,9,1
Organize special events.,9,1
Prepare medical supplies or equipment for use.,9,1
Package materials for transport.,9,1
Run wiring to connect equipment.,9,1
Schedule activities or facility use.,9,1
Sort materials or objects for processing or transport.,9,1
Package products for storage or shipment.,9,1
Prepare materials or solutions for animal or plant use.,9,1
Sort forestry or agricultural materials.,9,1
Solder parts or connections between parts.,9,1
Participate in physical training to maintain fitness.,9,1
Participate in staffing decisions.,9,1
Schedule equipment maintenance.,9,1
"Pay charges, fees, or taxes.",9,1
Perform administrative or clerical tasks.,9,1
Review professional literature to maintain professional knowledge.,9,1
Sterilize food cooking or processing equipment.,9,1
Study scripts to determine project requirements.,9,1
Review plans or proposals for environmental conservation.,9,1
Operate painting or coating equipment.,9,1
Prepare outgoing mail.,9,1
Study blueprints or other instructions to determine equipment setup requirements.,9,1
Prepare operational reports.,9,1
Operate pumping systems or equipment.,9,1
Store records or related materials.,9,1
Review blueprints or specifications to determine work requirements.,9,1
Operate recycling equipment.,9,1
Review customer information.,9,1
Operate sewing equipment.,9,1
Stock serving stations or dining areas with food or supplies.,9,1
Operate ships or other watercraft.,9,1
Operate still or video cameras or related equipment.,9,1
Review customer insurance information.,9,1
Review details of technical drawings or specifications.,9,1
Prepare operational budgets.,9,1
Operate welding equipment.,9,1
Stock products or parts.,9,1
Stock medical or patient care supplies.,9,1
Smooth surfaces of objects or equipment.,9,1
Perform housekeeping duties.,9,1
Smooth metal surfaces or edges.,9,1
"Perform manual agricultural, aquacultural, or horticultural tasks.",9,1
"Polish materials, workpieces, or finished products.",9,1
Prepare excavation or extraction sites for commissioning or decommissioning.,9,1
Service vehicles to maintain functionality.,9,1
Position material handling equipment.,9,1
Prepare drawings or diagrams of products or services.,9,1
Select medical equipment for addressing patient needs.,9,1
Prepare documentation for permits or licenses.,9,1
Serve on institutional or departmental committees.,9,1
Serve food or beverages.,9,1
"Prepare documentation for contracts, transactions, or regulatory compliance.",9,1
Position structural components.,9,1
"Send information, materials or documentation.",9,1
Prepare detailed work plans.,9,1
Prepare administrative documents.,9,1
Prepare analytical reports.,9,1
"Prepare biological feedstock for physical, chemical, or biological processing.",9,1
Select production equipment according to product specifications.,9,1
Prepare contracts or other transaction documents.,9,1
Prepare compounds or solutions for products or testing.,9,1
"Plant crops, trees, or other plants.",9,1
Select educational materials or equipment.,9,1
Select construction materials.,9,1
Plan educational activities.,9,1
Perform marketing activities.,9,1
Prepare legal or investigatory documentation.,9,1
Prepare legal documents.,9,1
Signal others to coordinate work activities.,9,1
Prepare informational or reference materials.,9,1
Prepare information or documentation related to legal or regulatory matters.,9,1
Signal equipment operators to indicate proper equipment positioning.,9,1
Schedule operational activities.,9,1
Plan employee work schedules.,9,1
Select construction equipment.,9,1
Schedule patient procedures or appointments.,9,1
Schedule product or material transportation.,9,1
Prepare healthcare training materials.,9,1
Set up still or video cameras or related equipment.,9,1
Plan menu options.,9,1
Set up merchandise displays.,9,1
"Set up material handling gear or equipment, such as rigging, packaging, or temporary structures.",9,1
Plan programs to address community mental wellness needs.,9,1
Review art or design materials.,9,1
Submit financial applications.,9,1
"Train employees on environmental awareness, conservation, or safety topics.",9,1
Present information to the public.,9,1
Move patients to or from treatment areas.,9,1
"Test materials, solutions, or samples.",9,1
Test fluids to identify contamination or other problems.,9,1
Test facilities for environmental hazards.,9,1
"Negotiate contracts for environmental remediation, green energy, or renewable resources.",9,1
Negotiate contracts with clients or service providers.,9,1
Negotiate financial arrangements.,9,1
Research industrial processes or operations.,9,1
Negotiate for services.,9,1
Present food or beverage information or menus to customers.,9,1
Present business-related information to audiences.,9,1
Negotiate project specifications.,9,1
Prescribe treatments or therapies.,9,1
Notify others of equipment problems.,9,1
Prescribe medications.,9,1
Research methods to improve food products.,9,1
Prescribe assistive medical devices or related treatments.,9,1
Research new technologies.,9,1
Observe individuals' activities to gather information or compile evidence.,9,1
Move large objects using heavy equipment.,9,1
Present medical research reports.,9,1
Supervise activities of other legal personnel.,9,1
Prepare breads or doughs.,9,1
Monitor processes for compliance with standards.,9,1
Process x-rays or other medical images.,9,1
Train construction or extraction personnel.,9,1
Monitor sales activities.,9,1
Track goods or materials.,9,1
Thread wire or cable through ducts or conduits.,9,1
Monitor surroundings to detect potential hazards.,9,1
Monitor the handling of hazardous materials or medical wastes.,9,1
Test software performance.,9,1
Monitor the security of digital information.,9,1
Test products for functionality or quality.,9,1
Monitor video displays of medical equipment to ensure proper functioning.,9,1
Process healthcare paperwork.,9,1
Process forensic or legal evidence in accordance with procedures.,9,1
Test patient vision.,9,1
Test patient nervous system functioning.,9,1
Present work to clients for approval.,9,1
Research impacts of environmental conservation initiatives.,9,1
Present research results to others.,9,1
Research relevant legal materials to aid decision making.,9,1
Prepare tests.,9,1
Test air quality at work sites.,9,1
Obtain personal or financial information about customers or applicants.,9,1
Operate firefighting equipment.,9,1
Operate forklifts or other loaders.,9,1
Prepare reports summarizing patient diagnostic or care activities.,9,1
Prepare reports related to compliance matters.,9,1
Resolve employee or contractor problems.,9,1
Prepare regulatory or compliance documentation.,9,1
Resolve operational performance problems.,9,1
Respond to customer problems or complaints.,9,1
Supervise scientific or technical personnel.,9,1
Operate industrial equipment.,9,1
Supervise school or student activities.,9,1
Supervise patient care personnel.,9,1
Retrieve information from electronic sources.,9,1
Operate metal or plastic forming equipment.,9,1
Operate mixing equipment.,9,1
Supervise maintenance workers.,9,1
Operate natural gas generation equipment.,9,1
Supervise laboratory work.,9,1
Supervise engineering or other technical personnel.,9,1
Take customer orders.,9,1
Prepare research reports.,9,1
Teach classes in area of specialization.,9,1
Research topics in area of expertise.,9,1
Teach safety standards or environmental compliance methods.,9,1
Teach others to use technology or equipment.,9,1
Teach others to use computer equipment or hardware.,9,1
Operate biomass or biofuel production equipment.,9,1
Operate cash registers.,9,1
Operate communications equipment or systems.,9,1
Teach life skills.,9,1
Operate computers or computerized equipment.,9,1
Resolve computer network problems.,9,1
Operate energy distribution equipment.,9,1
Prepare staff schedules or work assignments.,9,1
Prepare scientific or technical reports or presentations.,9,1
"Operate cooking, baking, or other food preparation equipment.",9,1
Operate cutting equipment.,9,1
Teach health management classes.,9,1
Operate diagnostic or therapeutic medical instruments or equipment.,9,1
Prepare sales or other contracts.,9,1
Teach exercise or fitness techniques.,9,1
Refer patients to other healthcare practitioners or health resources.,9,1
